,state_po,county,cor_pred,Repnum_x,Demnum_x,Repnum_y,Demnum_y
628,MT,Powder River,3,3,0,3,0
629,ND,Stutsman,3,3,0,3,0
630,MT,Powell,3,3,0,3,0
631,ND,Stark,3,3,0,3,0
632,ND,Slope,3,3,0,3,0
633,ND,Sheridan,3,3,0,3,0
634,ND,Richland,3,3,0,3,0
635,ND,Renville,3,3,0,3,0
636,MT,Prairie,3,3,0,3,0
637,ND,Ramsey,3,3,0,3,0
638,ND,Pierce,3,3,0,3,0
639,ND,Pembina,3,3,0,3,0
640,ND,Oliver,3,3,0,3,0
641,MT,Ravalli,3,3,0,3,0
642,MT,Richland,3,3,0,3,0
643,ND,Barnes,3,3,0,3,0
644,ND,Adams,3,3,0,3,0
645,NC,Yancey,3,3,0,3,0
646,NC,Lincoln,3,3,0,3,0
647,NC,Catawba,3,3,0,3,0
648,NC,Iredell,3,3,0,3,0
649,NC,Johnston,3,3,0,3,0
650,NC,Jones,3,3,0,3,0
651,NC,Lee,3,3,0,3,0
652,NC,Lenoir,3,3,0,3,0
653,NC,Macon,3,3,0,3,0
654,NC,Burke,3,3,0,3,0
655,NC,Carteret,3,3,0,3,0
656,NC,Madison,3,3,0,3,0
657,NC,Camden,3,3,0,3,0
658,NC,Caldwell,3,3,0,3,0
659,NC,McDowell,3,3,0,3,0
660,NC,Mecklenburg,3,1,2,1,2
661,NC,Cherokee,3,3,0,3,0
662,NC,Clay,3,3,0,3,0
663,NC,Cleveland,3,3,0,3,0
664,NC,Henderson,3,3,0,3,0
665,NC,Craven,3,3,0,3,0
666,NC,Haywood,3,3,0,3,0
667,NC,Harnett,3,3,0,3,0
668,NC,Guilford,3,1,2,1,2
669,NC,Greene,3,3,0,3,0
670,NC,Cumberland,3,1,2,1,2
671,NC,Graham,3,3,0,3,0
672,NC,Gates,3,1,2,1,2
673,NC,Gaston,3,3,0,3,0
674,NC,Franklin,3,3,0,3,0
675,NC,Currituck,3,3,0,3,0
676,NC,Dare,3,3,0,3,0
677,NC,Duplin,3,3,0,3,0
678,NC,Cabarrus,3,3,0,3,0
679,NC,Mitchell,3,3,0,3,0
680,NC,Yadkin,3,3,0,3,0
681,NC,Transylvania,3,3,0,3,0
682,NC,Avery,3,3,0,3,0
683,NC,Stanly,3,3,0,3,0
684,NC,Stokes,3,3,0,3,0
685,NC,Surry,3,3,0,3,0
686,NC,Ashe,3,3,0,3,0
